base_word,rhyme_candidate,score
partyzantom,aktywatorom,0.45
partyzantom,gapownictwom,0.5
koleżankom,kasbom,0.4
koleżankom,balneotechnikom,0.47
dyletantom,rządkom,0.4
dyletantom,toruniankom,0.5
generacjom,bajglom,0.4
generacjom,dżulom,0.4
emigrantom,kamykom,0.45
emigrantom,luksosekundom,0.45
policjantom,hydrokinetykom,0.4
policjantom,dezatomizacjom,0.4
kandydatom,burdziarzom,0.45
kandydatom,cytronelalom,0.45
literatom,ultraalbazytom,0.48
literatom,bożątkom,0.45
oceanom,higrotyzmom,0.5
oceanom,botwinkom,0.45
kapitanom,indytom,0.45
kapitanom,wywozom,0.45
gospodarzom,manichejczykom,0.45
gospodarzom,cybetom,0.45
szarlatanom,apetytom,0.5
szarlatanom,bondom,0.4
wydatkom,dekoratorstwom,0.4
wydatkom,machistkom,0.7
wybrańcom,drożdżownictwom,0.45
wybrańcom,kwizom,0.45
rybakom,akwatyntom,0.45
rybakom,jaworzankom,0.57
zwyczajom,aksonemom,0.45
zwyczajom,mailom,0.5
kochankom,foczętom,0.5
kochankom,bezdogmatowcom,0.4
poprawkom,bemolom,0.5
poprawkom,cukierkom,0.58
trybuna,miliona,0.5
trybuna,trzechsetna,0.5
Chrystusa,zaklęsa,0.5
Chrystusa,modsa,0.45
chytrusa,zaklęsa,0.5
chytrusa,granatowowłosa,0.35
cybucha,cwaniocha,0.62
cybucha,pcha,0.53
fryzura,megiera,0.5
fryzura,mokra,0.45
przydusza,młynarza,0.5
przydusza,erytroblastoza,0.35
przykuca,pamiętająca,0.4
przykuca,brzegownica,0.45
przykuta,rewizyta,0.45
przykuta,adwokata,0.45
przykuwa,osinowa,0.45
przykuwa,eskortowa,0.45
przytula,skala,0.45
przytula,mendla,0.45
Tytusa,wiarusa,0.67
Tytusa,podąsa,0.5
wybucha,zacicha,0.62
wybucha,rzeżucha,0.75
wyczucia,kicia,0.45
wyczucia,łapięcia,0.5
wyczula,zbryla,0.45
wyczula,haplostela,0.45
wyczuwa,litowa,0.5
wyczuwa,waniliowa,0.45
wydusza,samozachowawcza,0.35
wydusza,yakuza,0.45
wyfruwa,beżowobrązowa,0.35
wyfruwa,kompartmentowa,0.4
wyklucza,tawrosza,0.5
wyklucza,epistaza,0.45
wykurza,celulaza,0.45
wykurza,msza,0.4
wykusza,łyskacza,0.5
wykusza,fosforoliza,0.4
mu,bladoliliowemu,0.75
mu,uciskowemu,0.8
bu,dziobu,0.95
bu,zasobu,0.9
bzu,amiszu,0.9
bzu,wwozu,0.95
chrztu,baddeleitu,0.8
chrztu,termoplastu,0.85
dniu,kamieniowaniu,0.8
dniu,naburmuszeniu,0.8
dnu,pangenu,0.9
dnu,ceresanu,0.85
du,fotoskładu,0.85
du,epoksydu,0.85
dwu,bajkopisarstwu,0.8
dwu,cieniarstwu,0.9
dżdżu,faktomontażu,0.8
dżdżu,ermitażu,0.85
fu,fotoheliografu,0.75
fu,alografu,0.85
hu,slashu,0.95
hu,rozmachu,0.9
ku,czyżewsku,0.9
ku,leszczyńsku,0.9
lnu,dolcianu,0.9
lnu,hymnu,0.95
lu,bekerelu,0.85
lu,gorylu,0.9
lwu,warzelnictwu,0.85
lwu,asesorstwu,0.85
mchu,mackintoshu,0.85
mchu,tatarczuchu,0.85
mru,wątoru,0.9
mru,keru,0.95
nu,dubnu,0.95
nu,kanonu,0.9
pfu,defektografu,0.8
pfu,chronofotografu,0.75
bym,fukałbym,0.9
bym,reedukowałabym,0.7
cnym,zaaportowałabym,0.7
cnym,antykrajowym,0.8
cym,ubezpieczałabym,0.75
cym,bezkrytycznym,0.85
czczym,islamizującym,0.75
czczym,linolenowym,0.8
czym,nabieżnikowym,0.8
czym,laskowym,0.9
dym,augiaszowym,0.85
dym,hydrometrycznym,0.8
gdym,karbonylującym,0.75
gdym,nabrzmiewałabym,0.8
Krym,federującym,0.8
Krym,bitumizowałabym,0.7
mym,chrupotałbym,0.85
mym,fortunnym,0.9
prym,twierdziłabym,0.85
prym,ubruttowiłabym,0.75
rym,jednokwiatowym,0.8
rym,kołowym,0.9
Rzym,jednozadaniowym,0.75
Rzym,brzękłbym,0.95
swym,cierkającym,0.85
swym,monotonizującym,0.7
twym,ustokrotnianym,0.8
twym,delektowałabym,0.75
tym,temporalnym,0.85
tym,gęstniałabym,0.85
danym,homograficznym,0.6
danym,glutenowym,0.4
gnanym,frondowałabym,0.35
gnanym,uogólniłabym,0.3
szklanym,gerundialnym,0.65
szklanym,rogowym,0.45
tkanym,dystyngowałabym,0.3
tkanym,zmarłym,0.5
wdzianym,dwupodmiotowym,0.35
wdzianym,aprecjacyjnym,0.52
bom,ekspatriantom,0.85
bom,fromborkom,0.9
chrom,kocinom,0.9
chrom,nganom,0.95
com,chochlarzom,0.9
com,obozom,0.9
dniom,apiterapiom,0.8
dniom,płciom,1.0
dom,rotelom,0.9
dom,rurom,0.95
drzwiom,obciąganiom,0.85
drzwiom,remediom,0.9
dwom,czwórbojom,0.9
dwom,gitarzystkom,0.85
gnom,abecadłom,0.85
gnom,anemoninom,0.8
grom,fałszerkom,0.9
grom,halucynatykom,0.75
Jom,warom,0.95
Jom,termosom,0.9
krom,multiplikacjom,0.8
krom,elblążankom,0.85
lwom,biblistykom,0.85
lwom,barwnikarstwom,0.85
nom,atencyjkom,0.85
nom,epigonkom,0.85
prom,chęcinianom,0.85
prom,clipom,0.95
psom,zabawom,0.9
psom,nadleśniczówkom,0.8
snom,świdniczanom,0.85
snom,oazowiczkom,0.8
tom,wypukom,0.9
tom,komarom,0.9
ziom,hydrofitologiom,0.75
ziom,uranometriom,0.8
paniom,źrebięciarniom,0.65
paniom,lędźwiom,0.5
krajom,impregnarkom,0.4
krajom,totipotencjom,0.6
popielniczkę,zapiskę,0.45
popielniczkę,ciułaczkę,0.56
obietnicę,białorybicę,0.52
obietnicę,pucę,0.4
gąsienicę,tynkownicę,0.67
gąsienicę,nawrócę,0.45
Angelinę,hajdamaczyznę,0.4
Angelinę,brachistochronę,0.4
jajecznicę,fortecę,0.45
jajecznicę,kozicę,0.52
tajemnicę,kabłącznicę,0.67
tajemnicę,uchodźcę,0.45
wtajemniczę,zaburczę,0.52
wtajemniczę,uwędzę,0.45
uczennicę,chlebodawcę,0.5
uczennicę,dokręcę,0.45
niedźwiedzicę,trójcę,0.4
niedźwiedzicę,izgrzycę,0.45
telewizję,alkalizację,0.45
telewizję,apeluję,0.5
maszynistę,genettę,0.45
maszynistę,autokratę,0.5
maszynistkę,zwójkę,0.4
maszynistkę,cieniówkę,0.45
gotowiznę,odegnę,0.45
gotowiznę,wymknę,0.4
podobiznę,zasnę,0.4
podobiznę,pomknę,0.4
specjalistę,wolutę,0.45
specjalistę,totalistę,0.79
piramidkę,radiogenetykę,0.4
piramidkę,anglokatoliczkę,0.4
przyłbicę,młócę,0.45
przyłbicę,warkocę,0.5
potylicę,tablicę,0.65
potylicę,franchisodawcę,0.45
wołowinę,ulenę,0.45
wołowinę,mikromaszynę,0.45
cembrowinę,myknę,0.4
cembrowinę,mataninę,0.57
spisałby,uprzytamniałaby,0.35
spisałby,dohodowywałaby,0.3
mikroby,debugowałby,0.4
mikroby,akumulowałby,0.35
zwinąłby,ganiłyby,0.45
zwinąłby,cukrzyłyby,0.45
zdziwiłby,skomprymowałyby,0.35
zdziwiłby,ucichałyby,0.4
chciałby,chlapaliby,0.4
chciałby,moherowaliby,0.3
dałby,jęłoby,0.45
dałby,rozczłapywałyby,0.3
stałby,nachmurzałby,0.9
stałby,humanizowałaby,0.25
fałdy,brązoworudy,0.35
fałdy,sody,0.5
gwałty,straty,0.5
gwałty,langusty,0.45
hałdy,logaedy,0.4
hałdy,zachody,0.45
kształty,jaty,0.5
kształty,snuty,0.5
małpy,trzepy,0.5
małpy,ospy,0.5
miałby,udziecinnialiby,0.3
miałby,gwaszowałoby,0.35
Jałty,kontrargumenty,0.35
Jałty,folklorysty,0.4
kształtny,faworyzowany,0.3
kształtny,mydlany,0.45
by,logarytmowałyby,0.7
by,ukazałyby,0.8
bzy,wrywszy,0.95
bzy,zbloczy,0.95
cny,dzielny,0.95
cny,wwalony,0.9
cy,międzybrodzcy,0.85
cy,gospodarujący,0.75
czczy,latynizatorzy,0.75
czczy,douczy,0.9
błękitną,desemantyzowaną,0.3
błękitną,marykiną,0.45
rzęsistą,zatratą,0.5
rzęsistą,ujętą,0.5
księżniczką,świeżutką,0.5
księżniczką,gręplarską,0.5
gęstwiną,reanimacyjną,0.35
gęstwiną,teledynamiczną,0.35
lękliwą,białofioletową,0.35
lękliwą,terpenową,0.45
szczęśliwą,kamerową,0.45
szczęśliwą,pyłową,0.5
wędliną,bydlęconą,0.45
wędliną,pełzną,0.45
lipińską,zlewką,0.45
lipińską,trzcińską,0.75
Micińską,rutewką,0.5
Micińską,hydronetką,0.45
wiedźminką,trenerką,0.5
wiedźminką,łącczanką,0.57
uliczką,dzionką,0.45
uliczką,mijanką,0.5
zbójnicką,chybianką,0.5
zbójnicką,czartowską,0.5
Rybicką,ateistką,0.45
Rybicką,akustyką,0.45
chocimską,dziewką,0.45
chocimską,ścianką,0.45
choinką,homerycką,0.45
choinką,mątewką,0.5
pobliską,bombonierką,0.45
pobliską,genewką,0.5
doniczką,biskajską,0.5
doniczką,dokładką,0.5
Alinką,bucką,0.5
Alinką,falką,0.5
malinką,termokopiarką,0.4
malinką,wersyfikatorską,0.35
walizką,jabłoneczką,0.57
walizką,atomistyką,0.4
gestapowiec,palmowiec,0.59
gestapowiec,wypiec,0.4
zamachowiec,tuningowiec,0.67
zamachowiec,łabuniec,0.45
Jednorożec,widelec,0.45
Jednorożec,hec,0.35
nosorożec,jajec,0.4
nosorożec,spec,0.35
wieżowiec,kiściec,0.45
wieżowiec,kalobriowiec,0.65
wędrowiec,wybiec,0.45
wędrowiec,hufiec,0.45
kurzowiec,żołędziowiec,0.65
kurzowiec,świerzbowiec,0.7
ludowiec,śrutowiec,0.75
ludowiec,jastrzębiec,0.5
surowiec,campingowiec,0.7
surowiec,trójpłatowiec,0.7
grobowiec,ślepiec,0.45
grobowiec,cykadowiec,0.7
prochowiec,łuszczeniec,0.5
prochowiec,balsamowiec,0.7
sosnowiec,transportowiec,0.65
sosnowiec,enerefowiec,0.6
sportowiec,pałkowiec,0.7
sportowiec,brodziec,0.45
handlowiec,burtowiec,0.67
handlowiec,wypiec,0.45
manowiec,muszkatowiec,0.7
manowiec,samochodowiec,0.65
parowiec,losowiec,0.75
parowiec,rudowiec,0.75
razowiec,łowiec,0.7
razowiec,ludowiec,0.75
zapobiec,łącznikowiec,0.45
zapobiec,wahadłowiec,0.45
radiowiec,hifowiec,0.7
radiowiec,dopiec,0.45
pluskolec,mędrzec,0.45
pluskolec,bogomolec,0.65
cie,udręczałybyście,0.75
cie,chmurzyłybyście,0.8
brnie,budżetowanie,0.8
brnie,miocenie,0.9
chce,salonce,0.9
chce,alergizujące,0.75
che,ghee,0.95
che,sandwiche,0.9
die,encyklopedie,0.8
die,dypodie,0.9
dmie,hipersplenizmie,0.8
dmie,heraklityzmie,0.8
drgnie,fitokininie,0.8
drgnie,floretynie,0.85
drze,bujacze,0.9
drze,fetysze,0.9
dwie,ubóstwie,0.9
dwie,ceglarstwie,0.9
gdzie,jezydzie,0.9
gdzie,fotohydrolizie,0.75
gie,trasologie,0.85
gie,homologie,0.85
gnie,dianie,0.95
gnie,brzeżaninie,0.85
grze,brankardierze,0.85
grze,lutowacze,0.85
je,odszyje,0.9
je,inkrustacje,0.85
kie,lekuśkie,0.9
kie,uznamskie,0.9
klnie,haniebnie,0.9
klnie,glinie,0.95
krze,bulderze,0.9
krze,forsowniejsze,0.85
lgnie,chorzowianie,0.85
lgnie,gryfowianinie,0.8
me,uprzejme,0.9
me,łakome,0.9
mgle,atomale,0.85
mgle,ramtile,0.9
oglądaniu,cyganieniu,0.5
oglądaniu,bazowaniu,0.58
potrząsaniu,durniu,0.4
potrząsaniu,lizingowaniu,0.52
pożądaniu,uzupełnianiu,0.55
pożądaniu,flancowaniu,0.6
rozwiązaniu,lodowaniu,0.57
rozwiązaniu,czepianiu,0.52
urządzaniu,świegotaniu,0.57
urządzaniu,tąpaniu,0.52
przeciąganiu,wągrowaceniu,0.45
przeciąganiu,ognaniu,0.53
okazaniu,histeryzowaniu,0.5
okazaniu,udaremnieniu,0.45
ukazaniu,gumowaniu,0.6
ukazaniu,legitymizowaniu,0.45
wyrastaniu,rozśrubowywaniu,0.48
wyrastaniu,akredytowaniu,0.48
podrabianiu,dorwaniu,0.52
podrabianiu,chwyceniu,0.45
dokonaniu,użebraniu,0.6
dokonaniu,certyfikowaniu,0.5
glosowaniu,ubogacaniu,0.55
glosowaniu,paraniu,0.55
głosowaniu,hamletyzowaniu,0.7
głosowaniu,grzmieniu,0.4
obcowaniu,alodynowaniu,0.65
obcowaniu,likowaniu,0.75
przekonaniu,brajlowaniu,0.6
przekonaniu,alienowaniu,0.55
przyjmowaniu,magnesowaniu,0.7
przyjmowaniu,literowaniu,0.7
ratowaniu,rojeniu,0.45
ratowaniu,nabraniu,0.55
rusztowaniu,cieszeniu,0.45
rusztowaniu,obełgiwaniu,0.59
skrzyżowaniu,doinformowaniu,0.7
skrzyżowaniu,majstrowaniu,0.8
szwargotaniu,głupieniu,0.45
szwargotaniu,relegalizowaniu,0.43
no,latanino,0.85
no,upełnoletniono,0.75
bo,kobeo,0.9
bo,szubo,0.95
co,arcykłamco,0.85
co,toczenico,0.85
czczo,giardiozo,0.9
czczo,abiogenezo,0.8
dno,hurgotano,0.85
dno,ikebano,0.85
do,gamajdo,0.9
do,galardo,0.9
go,ludowego,0.85
go,antyaidsowego,0.7
ho,echo,0.95
ho,poncho,0.95
jo,antyanafilaksjo,0.7
jo,biofacjo,0.9
Klio,wanilio,0.9
Klio,saintpaulio,0.85
ko,draparko,0.9
ko,glogierówko,0.85
kro,dobro,0.95
kro,fitoftoro,0.85
kto,azadirachto,0.8
kto,tykowato,0.85
po,krepo,0.95
po,chwalidupo,0.85
pro,gomoro,0.9
pro,nadtaro,0.9
pstro,gastro,0.95
pstro,giro,0.95
sto,integralisto,0.8
sto,jasnożółto,0.85
cy,etykietkujący,0.75
cy,niżący,0.9
by,wersyfikowałyby,0.7
by,umodelowałby,0.75
bzy,chwyciwszy,0.9
bzy,egzaminatorzy,0.75
cny,anencefaliczny,0.75
cny,ukonstytuowany,0.7
czczy,zbeczy,0.95
czczy,halerzy,0.9
czy,tenutariuszy,0.8
czy,toksykozy,0.85
ćmy,mistrzowaliśmy,0.8
ćmy,doorywalibyśmy,0.7
drzy,ukatrupiwszy,0.8
drzy,mentorzy,0.9
drży,rozłoży,0.9
drży,nieboży,0.9
dy,bakenbardy,0.85
dy,bakembardy,0.85
fly,grizzly,0.95
fly,chantilly,0.9
gdy,niewidy,0.9
gdy,jody,0.95
gry,filery,0.9
gry,lagry,0.95
gzy,wbetonowawszy,0.8
gzy,tanatolodzy,0.8
kry,niebury,0.9
kry,szliry,0.95
krzty,landwerzysty,0.85
krzty,darbysty,0.9
lny,antyfrykcyjny,0.8
lny,chemiczny,0.9
lwy,rzutkowy,0.9
lwy,forhendowy,0.85
lży,dzierży,0.95
lży,wysłuży,0.9
mchy,flachy,0.95
mchy,piąchy,0.95
obłoków,somów,0.45
obłoków,ekscesów,0.5
odgłosów,moletowników,0.4
odgłosów,indosamentów,0.4
połowów,chargotów,0.5
połowów,teksterów,0.5
rozłogów,czernidłaków,0.45
rozłogów,fasunków,0.5
nałogów,bacików,0.5
nałogów,obertasów,0.45
ukłonów,fifraczków,0.5
ukłonów,kwasków,0.45
wyłomów,pytlów,0.45
wyłomów,mułowców,0.5
jełopów,galionów,0.5
jełopów,interesantów,0.4
łowców,kulasów,0.45
łowców,żigolów,0.45
chłopków,landów,0.5
chłopków,batybentalów,0.35
członków,imentów,0.45
członków,mikroświatów,0.4
łotrów,logocentryzmów,0.35
łotrów,tambormajorów,0.52
chłopów,jonaszów,0.45
chłopów,legistów,0.45
głogów,antymonowodorów,0.25
głogów,chrzeptów,0.5
głosów,śluzów,0.5
głosów,głuszców,0.5
kłosów,juanów,0.45
kłosów,erstedów,0.45
łowów,campingów,0.45
łowów,metolów,0.45
młotów,cyjanów,0.45
młotów,arcymistrzów,0.4
płodów,fotorezystorów,0.3
płodów,gruchaczów,0.45
włosów,izmailizmów,0.35
włosów,gamelanów,0.4
brnie,głowiźnie,0.9
brnie,blokownie,0.9
chce,jątrzące,0.9
chce,hospitantce,0.85
che,slashe,0.95
che,flashe,0.95
cie,haftnięcie,0.9
cie,rozlśniłybyście,0.8
die,encyklopedie,0.8
die,acedie,0.9
dmie,metamorfizmie,0.8
dmie,magnetyzmie,0.85
drgnie,jeżowszczyźnie,0.85
drgnie,cewienie,0.9
drze,samplerze,0.9
drze,pnącze,0.95
dwie,zabawkarstwie,0.85
dwie,jubilerstwie,0.85
gdzie,askariozie,0.85
gdzie,glukozydzie,0.85
gie,taksologie,0.85
gie,mikrochirurgie,0.8
gnie,bryzgunie,0.9
gnie,czółnie,0.95
grze,garniturze,0.85
grze,centymetrze,0.85
je,pachtuje,0.9
je,monopolizuje,0.75
kie,grawerskie,0.9
kie,pałkarskie,0.9
klnie,laicyzowanie,0.75
klnie,hołubienie,0.85
krze,fikuśniejsze,0.85
krze,talonowicze,0.8
lgnie,alkenie,0.9
lgnie,parafrazowanie,0.75
me,świadome,0.9
me,gentilhomme,0.85
mgle,wasale,0.9
mgle,arcydziele,0.85
byś,brzęczałabyś,0.85
byś,debetowałabyś,0.75
czyś,ciepałabyś,0.85
czyś,umaszynowiłabyś,0.7
gdyś,pałaszowałabyś,0.75
gdyś,taranowałabyś,0.75
Krzyś,pachniałbyś,0.9
Krzyś,etykietowałabyś,0.7
tyś,ubóstwiałabyś,0.8
tyś,frezowałabyś,0.8
miałabyś,gurbiłbyś,0.6
miałabyś,laskowałabyś,0.8
mogłabyś,warstwowałbyś,0.55
mogłabyś,unasieniałbyś,0.5
poszłabyś,gruberowałabyś,0.6
poszłabyś,rozgraniczyłbyś,0.48
byłabyś,domicylowałbyś,0.47
byłabyś,ślimaczyłabyś,0.9
wyszłabyś,zabrukowałabyś,0.6
wyszłabyś,aproksymowałbyś,0.43
weszłabyś,udoiłbyś,0.53
weszłabyś,tarasowałabyś,0.6
poznałabyś,lichtowałabyś,0.74
poznałabyś,obgarnęłabyś,0.66
zechciałabyś,chrzciłabyś,0.64
zechciałabyś,liczyłbyś,0.51
ślęczałabyś,upokarzałabyś,0.76
ślęczałabyś,trzepietałabyś,0.74
uwierzyłabyś,ucałowałabyś,0.6
uwierzyłabyś,oczarowywałabyś,0.55
zobaczyłabyś,leniwiałabyś,0.67
zobaczyłabyś,ściekłbyś,0.41
potrafiłabyś,zaakcentowałbyś,0.51
potrafiłabyś,uśredniałbyś,0.51
zarobiłabyś,naczupirzyłbyś,0.56
zarobiłabyś,młynarzowałabyś,0.64
bzy,anabiozy,0.85
bzy,modernizatorzy,0.75
czy,łypnąwszy,0.9
czy,umówiwszy,0.85
powiesiwszy,chalazy,0.45
powiesiwszy,heptozy,0.45
odmieniwszy,machnąwszy,0.56
odmieniwszy,uciąwszy,0.56
wymieniwszy,tyrknąwszy,0.57
wymieniwszy,maślarzy,0.45
przerzedziwszy,kreszy,0.46
przerzedziwszy,cukierniczy,0.5
musieliśmy,obębniamy,0.5
musieliśmy,familiaryzujmy,0.4
usiedliśmy,śpimy,0.4
usiedliśmy,abrogowałybyśmy,0.41
ucieknijmy,ubyłybyśmy,0.45
ucieknijmy,ubłagujemy,0.45
zajebisty,inkasenty,0.5
zajebisty,chropowaty,0.5
znaleźliśmy,ruchajmy,0.45
znaleźliśmy,stacjonowałyśmy,0.47
kamienisty,jeżowaty,0.5
kamienisty,dopięty,0.45
spalenizny,epizoiczny,0.53
spalenizny,łękniczany,0.5
cukiernicy,znawcy,0.4
cukiernicy,nabijający,0.45
szubienicy,mikoccy,0.45
szubienicy,biadający,0.5
ulepimy,dryblowałybyśmy,0.4
ulepimy,likowalibyśmy,0.4
umieścimy,lingamy,0.45
umieścimy,schińszczyliśmy,0.5
bolszewicy,dokerscy,0.45
bolszewicy,chłopczyńscy,0.45
obietnicy,ludobójcy,0.5
obietnicy,wdeccy,0.4
odwiedziny,walcowany,0.5
odwiedziny,hektograficzny,0.45
podzielimy,trzeszczałyśmy,0.5
podzielimy,uintymniłybyśmy,0.35
polecimy,dolicytowaliśmy,0.35
polecimy,dysponowaliśmy,0.4
sadyzm,gongoryzm,0.45
sadyzm,ahistorycyzm,0.35
schematyzm,gongoryzm,0.5
schematyzm,futuryzm,0.5
pedantyzm,introwertyzm,0.55
pedantyzm,independentyzm,0.6
romantyzm,falansteryzm,0.45
romantyzm,hirsutyzm,0.6
biurokratyzm,anatocyzm,0.5
biurokratyzm,weryzm,0.4
reumatyzm,jubileatyzm,0.6
reumatyzm,marryzm,0.45
dyletantyzm,logocentryzm,0.5
dyletantyzm,linearyzm,0.5
obskurantyzm,hermafrodytyzm,0.51
obskurantyzm,gongoryzm,0.45
automatyzm,kantyzm,0.47
automatyzm,antyestetyzm,0.52
abym,grilowanym,0.4
abym,bielicowanym,0.35
bladym,dowcipkowałbym,0.35
bladym,fosfatyzującym,0.3
danym,egzystowałabym,0.3
danym,ganoidalnym,0.6
gnanym,użynałbym,0.4
gnanym,nabiałowym,0.4
krwawym,litosnym,0.45
krwawym,izokefalicznym,0.3
naszym,ciekawiłbym,0.4
naszym,setnym,0.5
prawym,twardniałbym,0.45
prawym,domkowym,0.7
samym,jednosiecznym,0.4
samym,beneficjalnym,0.35
starym,trudniejszym,0.45
starym,żyznym,0.5
szarym,asystowałabym,0.3
szarym,gniazdkowym,0.45
szklanym,mozaikowałabym,0.25
szklanym,odpiłowywałabym,0.25
my,apoteozujemy,0.7
my,grabmy,0.95
by,tężałaby,0.85
by,nabzikowałby,0.8
bzy,panoszy,0.9
bzy,łagodniejszy,0.85
cny,obony,0.9
cny,deflegmowany,0.8
cy,jenajscy,0.9
cy,maltretujący,0.8
czczy,gorzelniczy,0.85
czczy,czarowniejszy,0.85
czy,nabiedziwszy,0.85
czy,samosterowniczy,0.75
ćmy,urabiałybyśmy,0.75
ćmy,czołgałyśmy,0.85
drzy,askochytozy,0.8
drzy,tarbuszy,0.9
drży,obrzeży,0.9
drży,dosmaży,0.9
dy,obsady,0.9
dy,larwicydy,0.85
fly,play,0.95
fly,firefly,0.9
gdy,hardy,0.95
gdy,komody,0.9
gry,buciory,0.9
gry,technosfery,0.85
gzy,supersprinterzy,0.8
gzy,hojniejszy,0.9
kry,hydropulpery,0.8
kry,klipery,0.9
krzty,zębaty,0.9
krzty,żbikowaty,0.85
lny,aneuryny,0.85
lny,hipofizyny,0.8
lwy,molwy,0.95
lwy,rozetowy,0.85
lży,masaży,0.9
lży,oręży,0.9
znajomościach,fiknięciach,0.57
znajomościach,mirmekofiliach,0.51
dysproporcjach,jętach,0.45
dysproporcjach,asfaltytach,0.55
wysokościach,użyłkowaniach,0.51
wysokościach,utożsamieniach,0.51
miejscowościach,hipciach,0.49
miejscowościach,gonciarniach,0.5
horyzontach,radzistach,0.57
horyzontach,tonometrach,0.56
kategoriach,curieterapiach,0.52
kategoriach,paleontologiach,0.47
serdecznościach,odkrywczościach,0.68
serdecznościach,archigoniach,0.55
teleportach,żubrownikach,0.56
